متخصص,چشم,پیدا,کن,که,فروش,لنز,و,فریم,عینک,رو,هم,همونجا,انجام,بده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B-expertise,,,,B-problem,I-problem,I-problem,I-problem,I-problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
کلینیک,دندون,پزشکی,پیدا,کن,که,عکس,برداری,رو,همونجا,انجام,بده,و,با,بیمه,رفاه,قرار,داد,داشته,باشه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B-expertise,I-expertise,,,,B-problem,I-problem,,,,,,,,B-insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مطب,دکتری,رو,پیدا,کن,که,آزمایشگاه,بهش,نزدیک,باشه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
متخصص,داخلی,رو,پیدا,کن,که,بیمارستان,دولتی,عمل,رو,انجام,بده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B-expertise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
متخصص,زنان,پیدا,کن,که,همونجا,سونوگرافی,رو,انجام,بده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B-expertise,,,,,B-problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
یک,متخصص,پیدا,کن,تا,غده,لنفاوی,رو,با,کمترین,هزینه,برداره,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B-problem,I-problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
یک,دکتر,معرفی,کن,به,من,امید,بده,منو,درگیر,آزمایشگاه,و,رادیولوژی,و,غیره,نکنه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
یک,پزشک,عمومی,معرفی,کن,که,برای,مریض,هاش,احترام,قائل,باشه,اتاق,انتظارش,تمیز,و,مرتب,باشه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B-expertise,,,,,,,B-moral,I-moral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
یک,دکتر,ارتوپد,می,خوام,برای,درد,زانو,تو,محدوده,وکیل,آباد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B-expertise,,,,B-problem,I-problem,,,B-neighborhood,I-neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
متخصص,زنان,احتیاج,دارم,که,نوبت,دهی,آنلاین,داشته,باشه,و,تو,مسیر,مترو,باشه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B-expertise,,,,,,B-online-or-in-person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
یه,دکتر,دندان,پزشک,اطفال,می,خوام,که,حاضر,باشه,با,بچه,ها,کار,کنه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B-expertise,I-expertise,I-expertise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
یه,متخصص,غدد,برای,مشکل,تیروئیدم,می,خوام,که,محلش,ترافیک,زیاد,نداشته,باشه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B-expertise,,,B-problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
یه,دکتر,متخصص,گوارش,می,خوام,تو,مشهد,برای,درد,معده,شدیدم,که,سریع,بتونم,نوبت,بگیرم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,B-expertise,,,,B-city,,B-problem,I-problem,,,B-first-available-appointment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
دنبال,دندون,پزشکی,توی,مشهد,می,گردم,که,کار,زیبایی,دندون,انجام,بده,و,کارش,خوب,باشه,و,مراجعینش,راضی,بوده,باشن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B-expertise,I-expertise,,B-city,,,,,B-problem,I-problem,,,,,B-user-score,,,,B-user-score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
چشم,پزشکی,توی,مشهد,می,خوام,پیدا,کنم,که,کار,لیزیک,انجام,بده,و,باسابقه,باشه,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
