سردرد,و,سرگیجه,دارم,یک,دکتر,تو,سناباد,میخوام,,,,,,,,,,,,,,,,,,,,,,,,
B-problem,O,B-problem,O,O,O,O,B-neighborhood,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,
ارتوپد,خوب,تو,شهرک,غرب,که,زود,وقت,بده,,,,,,,,,,,,,,,,,,,,,,,,
B-expertise,B-user-score,O,B-neighborhood,I-neighborhood,O,B-first-available-appointment,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,
حساسیت,پوستی,دارم,رو,پشتم,دنبال,دکتر,خانم,که,کارش,خوب,باشه,میگردم,,,,,,,,,,,,,,,,,,,,
B-problem,I-problem,O,I-problem,I-problem,O,O,B-gender,O,O,B-user-score,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,
یه,دکتر,دندانپزشک,معرفی,کن,که,بیمه,تکمیلی,قبول,کنه,,,,,,,,,,,,,,,,,,,,,,,
O,O,B-expertise,O,O,O,O,B-insurance,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,
یه,متخصص,غدد,داخلی,معرفی,کن,که,آزمایشگاه,هم,نزدیک,مطبش,باشه,,,,,,,,,,,,,,,,,,,,,
O,O,B-expertise,I-expertise,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,
دنبال,یه,آزمایشگاه,میگردم,که,نتایج,آزمایشش,قابل,اتکا,باشه,تو,تهران,,,,,,,,,,,,,,,,,,,,,
O,O,B-expertise,O,O,O,O,B-user-score,I-user-score,O,O,B-city,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,
دنبال,یک,پرستار,خانم,میگردم,تو,مشهد,که,مراقبت,از,سالمندان,رو,بتونه,انجام,بده,,,,,,,,,,,,,,,,,,
O,O,B-expertise,B-gender,O,O,B-city,O,B-problem,O,I-problem,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,
یک,دکتر,قلب,تو,تهران,میخوام,از,این,دکتر,الکیا,نباشه,,,,,,,,,,,,,,,,,,,,,,
,,B-expertise,,B-city,,,,B-user-score,I-user-score,I-user-score,,,,,,,,,,O,O,O,O,O,O,,,,,,,
برای,سنگ,کلیه,پیش,چند,تا,دکتر,رفتم,جواب,نگرفتم.,دنبال,دکتر,کاربلد,میگردم.,,,,,,,,,,,,,,,,,,,
,B-problem,I-problem,,,,,,,,,,B-user-score,,,,,,,,O,O,O,O,O,O,,,,,,,
من,دل,درد,دارم,یک,دکتر,هول,و,هوش,وکیل,آباد,بهم,معرفی,کن,,,,,,,,,,,,,,,,,,,
,B-problem,I-problem,,,,,,,B-neighborhood,I-neighborhood,,,,,,,,,,O,O,O,O,O,O,,,,,,,
دلم,خیلی,درد,می,کنه,یک,دکتر,روده,تو,اهواز,می,خوام,,,,,,,,,,,,,,,,,,,,,
B-problem,I-problem,I-problem,,,,,B-expertise,,B-city,,,,,,,,,,,O,O,O,O,O,O,,,,,,,
چند,وقتیه,که,دلم,درد,میکنه,فکر,کنم,از,رودم,باشه,یک,متخصص,گوارش,خیلی,خوب,مشهد,میخوام,,,,,,,,,,,,,,,
,,,B-problem,I-problem,,,,,B-problem,,,,B-expertise,B-user-score,I-user-score,B-city,,,,O,O,O,O,O,O,,,,,,,
سرما,خوردم,یک,دکتر,عمومی,نزدیک,راه,آهن,که,زود,وقت,بده,,,,,,,,,,,,,,,,,,,,,
B-problem,I-problem,,,B-expertise,,B-neighborhood,I-neighborhood,,B-first-available-appointment,,,,,,,,,,,O,O,O,O,O,O,,,,,,,
یک,دکتر,می,خوام,که,توی,ضمینه,سرطان,خون,تخصص,داشته,باشه,,,,,,,,,,,,,,,,,,,,,
,,,,,,,B-expertise,I-expertise,,,,,,,,,,,,O,O,O,O,O,O,,,,,,,
برای,ریزش,مو,یک,دکتر,با,تجربه,و,خوش,اخلاق,می,خوام,,,,,,,,,,,,,,,,,,,,,
,B-problem,I-problem,,,,B-experience,,B-moral,I-moral,,,,,,,,,,,O,O,O,O,O,O,,,,,,,
یک,دکتر,روان,پزشک,معرفی,کن,که,یک,ساعت,تو,مطبش,معطل,نشم,,,,,,,,,,,,,,,,,,,,
,,B-expertise,I-expertise,,,,,,,,B-amount-of-delay,I-amount-of-delay,,,,,,,,O,O,O,O,O,O,,,,,,,
یک,روانشناس,معرفی,کن,فوری,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B-expertise,,,B-first-available-appointment,,,,,,,,,,,,,,,,O,O,O,O,O,O,,,,,,,
می,خوام,رژیم,بگیرم,باید,چیکار,کنم؟,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B-problem,,,,,,,,,,,,,,,,,,O,O,O,O,O,O,,,,,,,
در,ادرارم,خون,دیدم,باید,برم,پیش,کی؟,,,,,,,,,,,,,,,,,,,,,,,,,
,B-problem,I-problem,,,,,,,,,,,,,,,,,,O,O,O,O,O,O,,,,,,,
کمر,درد,درد,مفصل,پشت,درد,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-problem,I-problem,B-problem,I-problem,B-problem,I-problem,,,,,,,,,,,,,,,O,O,O,O,O,O,,,,,,,
به,یک,متخصص,زنان,نزدیک,میدان,آزادی,,نیاز,دارم,که,تو,ماه,های,آخر,بارداری,تجربه,داشته,باشه,,,,,,,,,,,,,,
,,,B-expertise,,B-neighborhood,I-neighborhood,,,,,,B-problem,I-problem,I-problem,I-problem,B-experience,,,,O,O,O,O,O,O,,,,,,,
دکتر,متخصص,گوارش,خوب,مشهد,با,نویت,اینترنتی,,,,,,,,,,,,,,,,,,,,,,,,,
,,B-expertise,B-user-score,B-city,O,,B-online-or-in-person,,,,,,,,,,,,,O,O,O,O,O,O,,,,,,,
دکتر,متخصص,اعصاب,با,حوصله,خوب,در,مشهد,,,,,,,,,,,,,,,,,,,,,,,,,
